"id","name","artists","artist_ids","energy","loudness","speechiness","valence","tempo","duration_ms"
"2Sj6P33FV6dRgtwdSjNdZy","Help Me, Somebody","['Son Seals']","['0phMS1UDPTZlxuEnarDUKt']",0.52,-14.87,0.34,0.92,73.41,320000
"3mnuIaiqpN7vwWSExV44Fl","Sweet Love","['Mother Freedom Band']","['5wrAExY12GTZgiaHHGfjkt']",0.36,-14.5,0.23,0.91,73.46,257520
"60tnLliFcMoWxPTYZPbCuW","Pressure Drop","['Andy Bassford', 'Soul Sisters Six']","['2vHEgv7fwCaTGOCe6eapLZ', '5MOwGDrC1eiwujVSV0o5Q0']",0.63,-11.55,0.06,0.93,73.51,216360
"6J9upYQQQj53XQxaTlNySj","Usok","['Lolita & The Boys']","['6cRh97Hovf2ICmHIvYyS1O']",0.72,-8.76,0.08,0.96,73.52,208013
"6AHzTgCG3kRJoKYUAkwfJf","Glorious","['Vokal']","['43YYTnxxQ6i3mK138zCbUJ']",0.81,-4.44,0.22,0.96,73.66,242840
"2nPctGJZ3K5ufy05iqKYPg","Bad Luck","['Roy Carrier']","['56CNXWnEpBKEbtkEmCQ5xY']",0.84,-5.52,0.1,0.93,73.69,262400
"0tLFZDPRpsG6iCzoZGOws3","Sorry","['Turbulence']","['071vBgcrWSy5w3RmhMZpOb']",0.63,-7.39,0.09,0.95,73.7,261080
"0qLgM2yebqhFcqdiiHO4VT","Pray Fi Wi Yard","['Noah']","['2rhRP0I7ho82SwzIlwdXKe']",0.84,-5.33,0.38,0.96,73.72,242467
"3QYQu7j3hSa5gQSUxL6SgS","Pressure Drop (Re-Recorded)","['Toots & The Maytals']","['6ZFv3wQwwWPiVDWhv0mjQK']",0.67,-7.73,0.06,0.98,73.85,227838
"5HyoYHth2RTMuAnRbZOgoU","Anything for Mama","['Daddy Rings']","['77j6T69gmO4MZJSHfZMLr5']",0.7,-6.06,0.27,0.94,73.96,237827
"3HneQljQs5HQe7GOBEt9e9","Love Me for Me","['George Faith']","['1vfPThdJxPcw09U949KENr']",0.41,-10.42,0.1,0.94,73.99,238000
"3KY1CbtBI0I4Ur1j1ZG6gn","Naw Go Skin Up","['Gregory Isaacs']","['6QHu71f8LLeT8n0GzfbYFc']",0.47,-10.73,0.06,0.91,74,215253
"5vPJ7FhHV5rIWjdvGILVtf","Pay Me","['Styles Of Beyond', '4Zone']","['5bf6yYgHODBW5EreBZshpX', '0Tram2vD9oobm6jYLvAKDG']",0.72,-7.28,0.3,0.96,74.02,273293
"2h7CxRLFHNRMM2cHJM8yNq","Spend the Night","['Gregory Isaacs']","['6QHu71f8LLeT8n0GzfbYFc']",0.35,-8.34,0.12,0.96,74.03,215973
"4yfxaMh16QH1gOy1MitrI1","Ghannû yâ ikhwânî","['Abdel Gadir Salim']","['3Veb31WLtJfmDbXk3zm3xd']",0.43,-15.08,0.08,0.93,74.06,456640
"30aAxKUTmQwcNOAi6CkOQN","Oye Muchacha - En Vivo","['Rana']","['30q6yGDm6Fc6U6qAJ0ASzS']",0.79,-6,0.12,0.97,74.12,247400
"1pKaMwichEpgODFU7LOntQ","Sound Education","['I-Roy']","['3sILhd3JYkhVDMy7CVhpZ7']",0.76,-6.84,0.25,0.96,74.13,234000
"1jpI0QmAMpw2WZQAW2hylq","Original Drum","['Sister Carol']","['0V5QjeSrcp3sxp7GaoCOie']",0.58,-10.03,0.1,0.96,74.15,302133
"0jEu9FmVgo0BfO2GiJvJ5g","Tumbling Down","['Good Co']","['5MKWDoatmS7FkjGcshS8gU']",0.74,-6.5,0.07,0.94,74.2,255693
"4P5AeArROg0yElJa5nPIC8","Stranded","['Destra Garcia']","['2xY7ztTvCsTQGTFc0Bk1oZ']",0.88,-4.02,0.24,0.92,74.21,219582
"541oPrAxGsip7UrglTjAIU","Firn","['Hauschka']","['6fTuDQJqqMDrrEXSFmgyJt']",0.32,-10.93,0.12,0.98,74.29,201733
"1WUORMUmjriFoEmJRb5ubs","Thrill - Album Edit","['Fenin']","['4l1Vn5VVAjOfrVBQajhTrH']",0.76,-8.66,0.16,0.9,74.29,286520
"1HuLxisC5kaky8ehdtfRuw","Cachita","['Ska Cubano']","['6lmoqMxughzdlxvQTsUXjF']",0.66,-5.1,0.11,0.96,74.39,271267
"13pktiSu7nh0r1N3iYvDNy","Show I the Way","['Jah Levi & The Higher Reasoning']","['3nPr0tMBSnhl3AEDASe9CH']",0.54,-11.58,0.07,0.96,74.42,344013
"6FrYPX8PWQUv3HljFo2vqT","Big Apple Boogaloo","['Brooklyn Funk Essentials']","['4r4tRC1EUpfUCLjwQXP5EA']",0.91,-9.38,0.06,0.93,74.62,380893
"4tdwTCTRt6RvAKapMjAj8E","Let It Out (Feat. Wanya Morris)","['Lisa ""Left Eye"" Lopes', 'Wanya Morris']","['64ccradw8gAQn9gMQZmEha', '1BUKOA8zRAhTbh3xPE6gDm']",0.72,-9.2,0.17,0.93,74.64,285867
"1Ygf9RhP2N6QgCu9E0aBaW","Think Like A Lover","['Ned Doheny']","['59QKG3eYCCmqC6SqUwXvSw']",0.65,-13.05,0.06,0.91,74.67,276547
"0jq7UFe9OHi7SmQeJasVJS","Listen to Me","['Dj Iglu and Hartly Dark']","['2hQpfWv2z8HQn4JzAbFGQQ']",0.44,-10.71,0.41,0.96,74.69,286200
"1mmK5uWuj7gGBPy591jKJc","Herbman Blues","['Lazo & The Radikals']","['6RLs2dSS81EJavoy5nyMFf']",0.53,-7.09,0.12,0.94,74.7,271613
"3ZlnjEmVnwO4p2RPeqhCda","Como Me Duele - En Vivo","['Internacionales Conejos']","['60rvB6FcgAca5rMqSWDfSf']",0.9,-9.74,0.07,0.92,74.76,229507
"1ImqrNh2IZVPXab5Gi9CRm","Love Is Amazing","['Jah Mason']","['3oX8XeAmdg9wximJieP8dG']",0.81,-4.99,0.33,0.93,74.79,236387
"6ixlWwtPhEyBMDK3zhY33k","Tírame Tu Que Yo Devuelvo","['Kinito Mendez']","['1dlQ9EIUyQvXZ3l05YMQdT']",0.96,-1.93,0.1,0.96,74.82,271187
"2T0IAHKko10uyFYT8RKp3D","Unleashed","['Pretty Lyon']","['1HHglUlfZs3EYs6iWISzmU']",0.82,-6.55,0.09,0.91,74.9,243300
"6R3W8SG3aJMehBxos6FZvI","Wanilinda","['Wyre']","['4wnZwHdj9Axyr8ND1Vu8EH']",0.7,-3.9,0.05,0.97,74.95,224000
"2JCx7zObjBvDStn0mGVu52","One Million Matches","['Rocker-T']","['1jwCb8oTQ0DKA5fqwEbs6w']",0.94,-7.34,0.12,0.97,74.96,321307
"1SWchmXFFLYXPlnpUFEm35","Meu Pobre Coração","['Chiclete Com Banana']","['1bhqpMFFgoa0NTz82BprgL']",0.94,-4.83,0.05,0.92,74.96,219467
"0XHBPXdk1XLjKgv726c3Ir","Jazzy Time","['Scott Victor Gutierrez']","['21ksIfBzrDwBsqqBK2DUEy']",0.31,-10.25,0.54,0.96,74.97,277343
"4bo96RtyYEhAm5QPkeTlbY","The Rapture","['DJ Assault']","['3yoyUFgb11DMp1KrsJoQZU']",0.41,-11.35,0.39,0.98,74.97,234607
"59NTefKkstNvhRdFF0WWdz","Artificial Man","['Hey Champ']","['5s1MYt4IRlnpon0BWc7R8p']",0.83,-3.36,0.06,0.97,74.97,206296
"26eXOxS7AWO30ktEmr6zwW","Daytona","['Reset']","['65HI2mx0Dddduog0qh59PG']",1,-5,0.06,0.97,74.98,246640
"2tfUR4NGLAWHG9ohvBxzza","Mi Alma Se Muere Remix (feat. Pitbull & Omega)","['Fuego']","['7wU2WGCJ8HxkekHHE2QLul']",0.57,-13.93,0.08,0.94,74.98,234960
"7pWehp2vV8PGsGHJv3DcPe","Who Give the Order","['Tyrone Sturk']","['7635XexyLISZ8ChRVL5rxM']",0.57,-11.36,0.06,0.95,74.98,226344
"0GsbCrqJEXDocw99PEzYey","Ya Te Olvide Remix (feat. Juliana)","['Fuego']","['7wU2WGCJ8HxkekHHE2QLul']",0.64,-12.66,0.17,0.92,74.99,250013
"3o517EWyUEyt4ZutMr3R0K","Que Quieren Las Muejeres -La Mujer del Petrolero (Latin)","['Marimba Orquesta Alma Tuneca']","['4IxbZ8BGjDKoHWX67SdqEv']",0.81,-5.76,0.22,0.97,74.99,232027
"4Fk6U8dHAqxkCw2SfoAKs3","Go Pussy Go","['Pzychobitch']","['5VuxrwXQtGFbBbhrzBeVyX']",0.88,-4.42,0.06,0.93,74.99,226027
"6AyWIzLFEQpEkSfD9UmQug","Jealousy","['Burlak']","['26RLb2lIE8QkLAHbztMV23']",0.96,-4.28,0.1,0.94,75,202507
"1vgY39jf7WwXbwKdHoRR02","Skank","['Duckwrth', 'The Kickdrums']","['6I3MElirhT5t6Kf7p0hGk9', '4S6Am3CAk1XAYoqPg1GjNy']",0.73,-7.92,0.06,0.93,75,205543
"6blZRNsvbgmYyIWioPwh4b","Rated X","['Psychic Mirrors']","['7wTTRevwI9A3odMw7MWnmh']",0.6,-7.45,0.37,0.96,75,259853
"0phBAr6p2FuYqvarhGMxvr","Back In Time","['Various Artists']","['0LyfQWJT6nXafLPZqxe9Of']",0.84,-7.68,0.07,0.93,75,290227
